id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
39694883,Casa Rustica 2 Shared pool & Garden,70660589,Priscilla,,Churriana,36.63869,-4.49897,Entire home/apt,110,5,10,2022-06-14,0.35,2,107,3,VFT/MA/24445
32468493,Cubo's Villa Fina,117253760,Cubo'S Holiday Homes.,,Campanillas,36.73524,-4.59697,Entire home/apt,441,1,13,2022-04-23,0.34,22,234,6,CTC-2019025413
51220660,SEAFRONT P7 2B Apartment - JULY 21 Premiere!,412133526,Seafront,,Churriana,36.64471,-4.48037,Entire home/apt,439,2,6,2022-06-02,0.70,2,322,6,HUTVA-000545-96
43996030,Estudio vacaciones en los álamos,264447008,Juan,,Churriana,36.64514,-4.48941,Entire home/apt,73,4,5,2022-05-03,0.48,1,25,5,Ctc-2019099890
44357160,Magnifique appartement avec incroyable vue sur mer,25336603,Rachid,,Churriana,36.63072,-4.49028,Entire home/apt,233,4,8,2022-06-18,0.58,2,240,7,CTC-2020038740
617918657363379581,Bonito apartamento con jardín y piscina,457086538,Regli,,Churriana,36.66382,-4.54445,Entire home/apt,91,2,5,2022-06-26,3.26,1,306,5,Exempt
20644334,Beach apartment,22007104,Martin,,Churriana,36.62924,-4.49628,Entire home/apt,84,5,21,2021-09-13,0.38,5,310,5,VFT/MA/16592
581855645186778608,Luminoso y tranquilo apartamento  junto al mar,449399140,Fuensanta,,Churriana,36.642391,-4.483316,Entire home/apt,159,6,2,2022-06-01,0.81,1,319,2,VFT/MA/50043
5832692,Mirador Cuevas del Tesoro,30275415,Gody,,Este,36.72054,-4.29515,Entire home/apt,162,4,16,2021-07-23,0.19,1,0,1,VFT/MA/12149
52567323,Estudio tranquilo con espectaculares vistas,425011409,Miguel,,Churriana,36.6381,-4.49597,Entire home/apt,90,3,0,,,1,296,0,CTC-2021408462
555499493568771193,Playamar apartment - right at the beach,167140466,Rolan,,Churriana,36.63134,-4.49086,Entire home/apt,87,4,3,2022-06-17,1.58,1,276,3,VFT/MA/50197
52911842,B Apartamento Nuevo,406506665,Pedro,,Campanillas,36.69758,-4.56457,Entire home/apt,57,1,13,2022-06-19,1.70,2,56,13,VTF/MA/47082
640278169397939404,Loft ideal con terraza - centro de Torremolinos,132221001,Sandra,,Churriana,36.62352008602519,-4.498881250619888,Entire home/apt,120,3,0,,,1,320,0,A/MA/01701
34625353,Stylish & sunny new apartment in Los Alamos Beach,150983221,Jorge,,Churriana,36.64238,-4.48066,Entire home/apt,158,4,6,2021-12-28,0.17,1,248,2,VFT/MA/30360
25103315,Céntrico Apto.La Nogalera-Torremolinos: 2 piscinas,189489507,Rodrigo,,Churriana,36.62304,-4.50018,Entire home/apt,93,4,5,2022-04-17,0.13,1,339,4,VTF/MA/22483
633196116806070331,Amazing country house. Private-Pool-Pets-WIFI,460530531,Ana Maria,,Este,36.85132,-4.27447,Entire home/apt,116,7,0,,,1,293,0,VTAR/MA/03689
53667250,Cubo’s Villa Plumaria de Alhaurín,117253760,Cubo'S Holiday Homes.,,Campanillas,36.69834,-4.56562,Entire home/apt,491,1,3,2022-06-09,0.78,22,138,3,VFT/MA/48259
19224920,Coqueto Apartamento 2 dormitorios centrico,119667242,Javier,,Churriana,36.62471,-4.50543,Entire home/apt,74,3,122,2022-06-03,2.01,1,66,22,VFT/MA/12154
53917216,Bonito apartamento en pleno centro de Torremolinos,412855509,Belén,,Churriana,36.62627,-4.49911,Entire home/apt,66,2,0,,,1,318,0,VFT/MA/41680
645537349984953253,"Apartment 'Las Dalias' with Sea View, Shared Pool & Wi-Fi",432581747,Bookiply,,Churriana,36.62231875945881,-4.500568192452192,Entire home/apt,142,1,0,,,9,362,0,VFT/MA/52222
25890285,"Playa de Los Alamos, Torremolinos.",135182804,Jaime,,Churriana,36.64085,-4.48117,Entire home/apt,239,3,31,2022-06-11,0.68,2,173,10,CTC-2018074477
17984390,"Sunny & quiet apt, WOW views. Playamar.",83253582,Zoraida,,Churriana,36.63207,-4.49678,Entire home/apt,300,2,29,2020-03-26,0.50,1,22,0,VFT/MA/15175
49689786,LA PLAYA NOGALERA,239995233,Juan Antonio,,Churriana,36.62097,-4.50137,Entire home/apt,290,7,0,,,2,179,0,Exempt
34682643,"Playa Los Álamos, descanso y ocio en Torremolinos",261623253,Isaac,,Churriana,36.64266,-4.47938,Entire home/apt,150,5,2,2019-08-17,0.06,1,55,0,CTC-2019074565
23880079,Casita Las Melosillas Landscape,154232478,Conchi,,Palma-Palmilla,36.86348,-4.46427,Entire home/apt,88,3,99,2022-06-21,1.93,1,109,30,VTAR/MA/02261
34918897,"Playamar - Exclusive Beach Apartment with Pool, Tennis and Wifi",201741093,Your.Rentals,,Churriana,36.630596,-4.49274,Entire home/apt,190,1,17,2022-06-07,1.52,5,244,17,VFT/MA/16726
638461601358012982,Casa Rural con 4 habitaciones y piscina,171522053,Alslen,,Campanillas,36.71761,-4.59467,Entire home/apt,300,1,0,,,2,339,0,Exempt
20050754,BONITA CASA CON PISCINA CERCA DE LA PLAYA,142445898,Sofia,,Churriana,36.63047,-4.49584,Entire home/apt,256,5,5,2018-07-30,0.08,1,324,0,CTC-2020005149
